fit,score,source,publication_number,publication_date,title,buyer_name,country,category,priority_bucket,cpv_code,minimum_revenue_required,required_references_count,consortium_required,architect_mandatory,relevance_score,verdict,summary,url,why
EXCELLENT_FIT,129.0,,,,,,,COMPETITIONS,CORE,,,,,,,,,https://www.boamp.fr/pages/avis/?q=idweb:26-19093,+ base score from feed: 74.0 | + preferred category: COMPETITIONS | + core priority | + competition bonus
EXCELLENT_FIT,125.0,,,,,,,ARCHITECTURE_BUILDING,CORE,,,,,,,,,https://www.boamp.fr/pages/avis/?q=idweb:26-19432,+ base score from feed: 70.0 | + preferred category: ARCHITECTURE_BUILDING | + core priority | + architecture bonus
EXCELLENT_FIT,108.0,,,,,,,ARCHITECTURE_BUILDING,CORE,,,,,,,,,https://www.boamp.fr/pages/avis/?q=idweb:26-20132,+ base score from feed: 53.0 | + preferred category: ARCHITECTURE_BUILDING | + core priority | + architecture bonus
EXCELLENT_FIT,102.0,,,,,,,COMPETITIONS,CORE,,,,,,,,,https://www.boamp.fr/pages/avis/?q=idweb:26-18678,+ base score from feed: 47.0 | + preferred category: COMPETITIONS | + core priority | + competition bonus
EXCELLENT_FIT,96.0,,,,,,,COMPETITIONS,CORE,,,,,,,,,https://www.boamp.fr/pages/avis/?q=idweb:26-23606,+ base score from feed: 41.0 | + preferred category: COMPETITIONS | + core priority | + competition bonus
EXCELLENT_FIT,96.0,,,,,,,COMPETITIONS,CORE,,,,,,,,,https://www.boamp.fr/pages/avis/?q=idweb:26-20396,+ base score from feed: 41.0 | + preferred category: COMPETITIONS | + core priority | + competition bonus
EXCELLENT_FIT,95.0,,,,,,,ARCHITECTURE_BUILDING,CORE,,,,,,,,,https://www.boamp.fr/pages/avis/?q=idweb:26-22063,+ base score from feed: 40.0 | + preferred category: ARCHITECTURE_BUILDING | + core priority | + architecture bonus
EXCELLENT_FIT,95.0,,,,,,,ARCHITECTURE_BUILDING,CORE,,,,,,,,,https://www.boamp.fr/pages/avis/?q=idweb:26-21416,+ base score from feed: 40.0 | + preferred category: ARCHITECTURE_BUILDING | + core priority | + architecture bonus
EXCELLENT_FIT,93.0,,,,,,,ARCHITECTURE_BUILDING,CORE,,,,,,,,,https://www.boamp.fr/pages/avis/?q=idweb:26-23952,+ base score from feed: 38.0 | + preferred category: ARCHITECTURE_BUILDING | + core priority | + architecture bonus
EXCELLENT_FIT,93.0,,,,,,,ARCHITECTURE_BUILDING,CORE,,,,,,,,,https://www.boamp.fr/pages/avis/?q=idweb:26-19185,+ base score from feed: 38.0 | + preferred category: ARCHITECTURE_BUILDING | + core priority | + architecture bonus
